CLUSTER	TAXA
136	833_N84
207	61_N6
207	79_N7
235	310_N29
135	843_N84
233	913_N91
176	830_N83
326	751_N74
5	1_N1
81	127_N12
394	354_N33
81	118_N12
136	990_N98
176	831_N83
346	97_N9
91	654_N63
176	826_N83
135	839_N84
23	712_N69
235	920_N91
330	965_N95
300	798_N81
332	559_N55
232	785_N79
238	399_N38
55	126_N12
13	648_N63
285	148_N14
331	77_N7
214	358_N33
207	3_N1
244	54_N4
30	660_N64
277	83_N8
70	538_N53
23	710_N69
135	416_N40
277	921_N91
28	202_N19
70	540_N53
8	85_N8
323	963_N95
214	799_N81
238	411_N39
28	204_N19
134	837_N84
148	123_N12
158	901_N90
55	124_N12
390	180_N17
208	483_N47
23	709_N69
325	474_N46
13	838_N84
228	714_N70
55	117_N12
330	956_N95
70	535_N53
325	476_N46
390	245_N22
134	842_N84
233	922_N91
326	475_N46
4	853_N85
352	917_N91
244	46_N4
148	116_N12
4	852_N85
296	640_N62
346	96_N9
332	564_N55
208	4_N1
390	183_N17
133	845_N84
232	797_N80
296	642_N62
158	892_N89
176	379_N36
207	75_N7
331	74_N7
234	923_N91
136	834_N84
30	909_N90
206	659_N64
30	903_N90
28	847_N85
135	415_N40
208	480_N47
324	958_N95
13	644_N63
114	959_N95
5	8_N1
352	914_N91
214	810_N81
214	348_N33
133	835_N84
265	993_N98
300	801_N81
352	918_N91
265	78_N7
228	716_N70
228	713_N70
114	961_N95
332	72_N7
28	774_N77
285	142_N14
8	90_N8
28	207_N19
207	43_N4
390	181_N17
13	840_N84
55	114_N12
234	919_N91
238	391_N38
394	349_N33
30	850_N85
5	7_N1
8	854_N85
326	477_N46
23	125_N12
206	657_N64
324	968_N95
91	643_N63
114	119_N12
30	656_N64
91	647_N63
323	955_N95
