CLUSTER	TAXA
21	876_N90
71	378_N38
52	866_N89
160	355_N36
36	872_N90
53	491_N49
71	829_N85
87	831_N85
53	488_N49
176	461_N47
329	971_N99
32	816_N84
252	449_N46
70	431_N45
52	865_N89
186	374_N38
70	440_N45
129	475_N48
2	818_N84
244	701_N71
324	302_N31
230	446_N46
303	307_N31
160	225_N23
318	417_N43
266	687_N70
244	366_N37
180	437_N45
2	824_N84
169	473_N48
160	220_N23
152	952_N98
126	369_N37
175	468_N47
388	898_N92
52	863_N89
351	691_N71
303	200_N20
192	373_N37
220	833_N86
380	688_N70
370	684_N70
192	362_N37
324	300_N31
169	482_N48
67	493_N49
128	870_N89
126	372_N37
180	425_N44
186	380_N38
165	834_N86
153	470_N47
126	371_N37
176	464_N47
2	817_N84
152	962_N98
352	699_N71
266	967_N99
67	494_N49
370	690_N70
126	361_N37
186	377_N38
351	700_N71
220	835_N86
302	950_N97
87	837_N86
250	407_N41
87	828_N85
180	428_N44
220	832_N86
67	486_N49
52	869_N89
388	905_N92
252	460_N46
276	430_N44
192	370_N37
302	939_N97
276	426_N44
126	825_N85
186	382_N38
32	815_N84
318	419_N43
302	942_N97
380	966_N98
70	445_N45
252	125_N14
129	483_N48
159	356_N36
23	880_N90
87	826_N85
62	875_N90
266	363_N37
21	874_N90
62	871_N90
53	487_N49
250	458_N46
250	402_N41
175	462_N47
244	697_N71
128	867_N89
366	681_N70
324	299_N31
165	836_N86
159	358_N36
53	496_N49
2	811_N84
276	422_N44
36	878_N90
70	436_N45
366	689_N70
70	435_N45
266	680_N70
352	693_N71
159	357_N36
329	972_N99
153	466_N47
266	685_N70
366	679_N70
230	453_N46
152	960_N98
23	881_N90
