CLUSTER	TAXA
334	158_N15
233	746_N73
333	846_N83
233	735_N72
140	337_N33
24	401_N38
334	167_N15
94	751_N74
187	225_N20
115	232_N21
30	459_N43
268	31_N4
76	466_N44
301	162_N15
334	165_N15
110	332_N33
144	231_N21
290	274_N25
24	235_N21
217	149_N14
198	815_N80
115	920_N91
47	111_N11
94	757_N74
269	171_N15
126	759_N74
256	148_N14
56	423_N39
107	396_N37
137	391_N37
217	150_N14
292	745_N73
333	159_N15
336	762_N75
336	323_N32
224	989_N100
334	163_N15
268	24_N4
224	821_N80
125	755_N74
30	92_N10
290	273_N25
25	663_N64
2	403_N38
318	143_N14
198	820_N80
219	556_N52
126	752_N74
288	479_N45
219	547_N52
3	95_N10
56	436_N41
25	668_N64
25	670_N64
125	749_N73
187	219_N20
3	94_N10
268	37_N4
316	369_N35
333	841_N83
24	406_N38
288	474_N45
25	753_N74
219	154_N14
47	93_N10
194	816_N80
56	433_N40
268	28_N4
56	431_N40
274	968_N97
138	387_N37
76	467_N44
268	605_N58
244	200_N18
256	156_N14
294	743_N73
216	230_N21
2	244_N22
274	966_N97
137	398_N37
301	160_N15
110	560_N53
231	739_N73
138	389_N37
316	367_N35
194	818_N80
336	330_N32
110	343_N33
107	388_N37
336	896_N89
294	748_N73
244	43_N5
256	880_N87
292	740_N73
126	750_N74
231	741_N73
110	335_N33
144	429_N39
318	146_N14
140	331_N33
2	823_N80
256	142_N14
138	390_N37
290	477_N45
3	91_N10
316	357_N35
244	208_N18
216	574_N54
215	236_N21
3	261_N24
316	358_N35
274	965_N97
215	234_N21
336	328_N32
76	461_N44
244	188_N17
267	26_N4
267	27_N4
187	216_N20
301	170_N15
269	168_N15
